I Sr No,Cust Name,Cust ID,Product Name,Product ID,Product Price,Quantity,Transaction ID,Transaction Date
1062,Suresh Rao,CUST-0437,Webcam HD,PROD-0006,72.22,1,TXN-001062,2024-12-15
1063,Sunita Robinson,CUST-0475,Jump Rope,PROD-0044,18.67,1,TXN-001063,2025-12-03
1064,Sunita Gupta,CUST-0731,External SSD 1TB,PROD-0010,77.83,4,TXN-001064,2025-06-23
1065,Donald Williams,CUST-0645,Dumbbells (Pair),PROD-0042,77.78,2,TXN-001065,2024-10-24
1066,Riya Verma,CUST-0480,Cutting Board,PROD-0028,11.96,1,TXN-001066,2025-05-04
1067,Karen Rao,CUST-0308,External SSD 1TB,PROD-0010,77.83,5,TXN-001067,2025-12-01
1068,Karen Rao,CUST-0308,Winter Jacket,PROD-0016,125.83,2,TXN-001068,2024-10-29
1069,William Kulkarni,CUST-0583,Portable Charger,PROD-0004,42.05,2,TXN-001069,2024-02-16
1070,William Smith,CUST-0526,Keyboard Mechanical,PROD-0007,97.82,2,TXN-001070,2025-02-26
1071,Sophia Desai,CUST-0097,Tea Kettle,PROD-0030,40.05,2,TXN-001071,2025-08-05
1072,Sandra Kulkarni,CUST-0260,Toaster,PROD-0023,31.12,1,TXN-001072,2024-03-24
1073,Charles Chopra,CUST-0788,Machine Learning Guide,PROD-0033,42.63,1,TXN-001073,2025-11-08
1074,Vivaan Kulkarni,CUST-0474,Denim Jeans,PROD-0012,82.97,3,TXN-001074,2025-02-06
1075,Sunita Kumar,CUST-0047,Webcam HD,PROD-0006,72.22,2,TXN-001075,2025-12-22
1076,Neha Mehta,CUST-0305,Coffee Maker,PROD-0021,62.05,2,TXN-001076,2025-04-10
1077,Lucas Singh,CUST-0776,Resistance Bands,PROD-0043,22.74,2,TXN-001077,2024-09-28
1078,Neha Lewis,CUST-0350,Denim Jeans,PROD-0012,82.97,1,TXN-001078,2024-03-21
1079,Joseph Garcia,CUST-0765,Cookbook,PROD-0039,22.32,1,TXN-001079,2025-11-20
1080,Vikram Miller,CUST-0109,Cutting Board,PROD-0028,11.96,2,TXN-001080,2024-01-06
1081,Vikram Miller,CUST-0405,Monitor Stand,PROD-0008,53.18,1,TXN-001081,2025-11-02
1082,Mason Anderson,CUST-0489,Tea Kettle,PROD-0030,40.05,2,TXN-001082,2025-11-04
1083,Vikram King,CUST-0763,Cookbook,PROD-0039,22.32,3,TXN-001083,2024-11-06
1084,Vihaan Rao,CUST-0634,Travel Guide,PROD-0040,22.38,1,TXN-001084,2025-11-20
1085,Myra Patel,CUST-0707,Jump Rope,PROD-0044,18.67,1,TXN-001085,2024-11-05
1086,Nikhil Garcia,CUST-0090,Laptop Stand,PROD-0009,59.55,1,TXN-001086,2024-07-14
1087,Isabella Jackson,CUST-0115,Bluetooth Headphones,PROD-0002,92.28,2,TXN-001087,2024-07-11
1088,Anthony Joshi,CUST-0028,Running Shoes,PROD-0014,41.04,2,TXN-001088,2024-05-28
1089,Divya Singh,CUST-0666,Winter Jacket,PROD-0016,125.83,2,TXN-001089,2025-10-03
1090,Nisha Clark,CUST-0552,Hoodie,PROD-0013,50.64,1,TXN-001090,2025-04-19
1091,Reyansh Iyer,CUST-0152,Python Programming,PROD-0031,22.63,2,TXN-001091,2024-04-29
1092,Richard Johnson,CUST-0171,External SSD 1TB,PROD-0010,77.83,3,TXN-001092,2025-03-31
1093,Daniel Singh,CUST-0497,Python Programming,PROD-0031,22.63,1,TXN-001093,2025-04-05
1094,Robert Davis,CUST-0600,Winter Jacket,PROD-0016,125.83,1,TXN-001094,2025-08-06
1095,Sandra Lee,CUST-0402,Portable Charger,PROD-0004,42.05,1,TXN-001095,2024-04-15
1096,Nisha Reddy,CUST-0646,Basketball,PROD-0046,39.63,2,TXN-001096,2025-03-01
1097,Jennifer Martin,CUST-0508,Swimming Goggles,PROD-0048,16.81,2,TXN-001097,2025-07-21
1098,William Nair,CUST-0298,USB-C Hub,PROD-0003,61.28,2,TXN-001098,2025-05-12
1099,William Smith,CUST-0526,History of AI,PROD-0038,15.71,3,TXN-001099,2025-11-25
1100,Sai Kumar,CUST-0500,Formal Shirt,PROD-0015,57.36,3,TXN-001100,2025-06-24
1101,Donald Menon,CUST-0020,Cutting Board,PROD-0028,11.96,2,TXN-001101,2025-07-20
1102,Sara Allen,CUST-0066,Sports Socks (3-pack),PROD-0018,13.94,4,TXN-001102,2025-03-03
1103,Ashley Harris,CUST-0485,Monitor Stand,PROD-0008,53.18,2,TXN-001103,2025-10-23
1104,Ishaan Rodriguez,CUST-0356,Dish Rack,PROD-0029,28.32,2,TXN-001104,2024-01-22
1105,Betty Rodriguez,CUST-0166,Cap,PROD-0019,12.46,3,TXN-001105,2025-04-25
1106,Sneha Taylor,CUST-0353,Dish Rack,PROD-0029,28.32,1,TXN-001106,2024-08-12
1107,Mia Chopra,CUST-0602,Jump Rope,PROD-0044,18.67,1,TXN-001107,2025-09-08
1108,Aadhya Lewis,CUST-0733,Resistance Bands,PROD-0043,22.74,2,TXN-001108,2024-10-27
1109,Divya Davis,CUST-0741,Basketball,PROD-0046,39.63,1,TXN-001109,2025-03-02
1110,Ashley Jones,CUST-0690,Dumbbells (Pair),PROD-0042,77.78,3,TXN-001110,2025-04-28
1111,Betty Rodriguez,CUST-0166,Travel Guide,PROD-0040,22.38,1,TXN-001111,2025-12-08
1112,Sunita Rao,CUST-0768,Webcam HD,PROD-0006,72.22,2,TXN-001112,2024-05-12
1113,Matthew Reddy,CUST-0178,Hoodie,PROD-0013,50.64,1,TXN-001113,2025-05-18
1114,Divya Wright,CUST-0104,Storage Containers,PROD-0027,35.05,4,TXN-001114,2025-05-20
1115,Mia Nair,CUST-0311,Winter Jacket,PROD-0016,125.83,1,TXN-001115,2024-02-18
1116,Riya Menon,CUST-0019,Toaster,PROD-0023,31.12,4,TXN-001116,2024-12-31
1117,Oliver Patel,CUST-0694,Cotton T-Shirt,PROD-0011,30.65,1,TXN-001117,2025-05-30
1118,Isha Nair,CUST-0033,Smartwatch,PROD-0005,158.2,1,TXN-001118,2024-04-26
1119,Ashley King,CUST-0633,Formal Shirt,PROD-0015,57.36,1,TXN-001119,2024-08-17
1120,Sai Rao,CUST-0499,Casual Shorts,PROD-0017,29.07,5,TXN-001120,2024-12-29
1121,Charles Chopra,CUST-0788,USB-C Hub,PROD-0003,61.28,3,TXN-001121,2025-07-24
1122,Jessica Chopra,CUST-0274,External SSD 1TB,PROD-0010,77.83,4,TXN-001122,2025-06-11
1123,Manoj Young,CUST-0619,Resistance Bands,PROD-0043,22.74,1,TXN-001123,2024-02-21
1124,Karan Miller,CUST-0449,Tea Kettle,PROD-0030,40.05,5,TXN-001124,2024-04-23
1125,Vikram Miller,CUST-0109,Travel Guide,PROD-0040,22.38,2,TXN-001125,2024-04-14
1126,Manoj Thomas,CUST-0576,USB-C Hub,PROD-0003,61.28,2,TXN-001126,2024-06-20
1127,Nisha Reddy,CUST-0646,Monitor Stand,PROD-0008,53.18,4,TXN-001127,2025-01-05
1128,Nisha Lee,CUST-0161,Tennis Racket,PROD-0047,61.92,1,TXN-001128,2025-03-28
1129,Margaret Young,CUST-0781,Machine Learning Guide,PROD-0033,42.63,2,TXN-001129,2024-04-11
1130,Oliver Kumar,CUST-0158,Dumbbells (Pair),PROD-0042,77.78,1,TXN-001130,2024-05-21
1131,Pooja Kumar,CUST-0126,Hoodie,PROD-0013,50.64,2,TXN-001131,2025-03-01
1132,Charles Chopra,CUST-0788,Gym Bag,PROD-0050,52.65,1,TXN-001132,2025-04-30
1133,Neha Lewis,CUST-0350,Cap,PROD-0019,12.46,2,TXN-001133,2024-03-28
1134,Sophia Davis,CUST-0273,Non-Stick Pan,PROD-0024,32.73,3,TXN-001134,2025-02-28
1135,Diya Thomas,CUST-0370,Yoga Mat,PROD-0041,42.7,2,TXN-001135,2024-06-04
1136,Patricia Taylor,CUST-0772,Cycling Gloves,PROD-0049,31.15,2,TXN-001136,2024-08-21
1137,Oliver Johnson,CUST-0142,Cutting Board,PROD-0028,11.96,2,TXN-001137,2025-02-23
1138,Vikram Johnson,CUST-0470,Web Development,PROD-0034,44.41,3,TXN-001138,2025-01-05
1139,Michael Malhotra,CUST-0031,Dish Rack,PROD-0029,28.32,1,TXN-001139,2024-01-11
1140,Robert Williams,CUST-0735,Web Development,PROD-0034,44.41,4,TXN-001140,2024-03-27
1141,Rahul Verma,CUST-0347,Coffee Maker,PROD-0021,62.05,2,TXN-001141,2024-06-17
1142,Jessica Martinez,CUST-0445,Portable Charger,PROD-0004,42.05,1,TXN-001142,2024-02-07
1143,Linda Walker,CUST-0677,Dumbbells (Pair),PROD-0042,77.78,1,TXN-001143,2025-08-11
1144,Nikhil Martinez,CUST-0060,Yoga Mat,PROD-0041,42.7,5,TXN-001144,2025-11-07
1145,Donald Thomas,CUST-0533,Cap,PROD-0019,12.46,2,TXN-001145,2025-11-28
1146,Neha Iyer,CUST-0718,Self-Help Guide,PROD-0036,10.26,4,TXN-001146,2024-11-17
1147,Sneha Taylor,CUST-0353,Wireless Mouse,PROD-0001,45.68,3,TXN-001147,2025-06-24
1148,Jessica Rao,CUST-0626,External SSD 1TB,PROD-0010,77.83,3,TXN-001148,2025-04-01
1149,Sunita Harris,CUST-0660,Running Shoes,PROD-0014,41.04,4,TXN-001149,2025-10-01
1150,Vihaan Rao,CUST-0634,Dumbbells (Pair),PROD-0042,77.78,2,TXN-001150,2024-12-19
1151,Sneha Verma,CUST-0665,Water Bottle,PROD-0026,17.56,3,TXN-001151,2024-11-04
1152,Charlotte Smith,CUST-0087,USB-C Hub,PROD-0003,61.28,2,TXN-001152,2025-02-03
1153,William Thompson,CUST-0743,Tennis Racket,PROD-0047,61.92,3,TXN-001153,2024-05-09
1154,Donald Thomas,CUST-0533,Business Strategy,PROD-0035,33.11,1,TXN-001154,2024-04-05
1155,Thomas Johnson,CUST-0524,Self-Help Guide,PROD-0036,10.26,1,TXN-001155,2024-12-14
1156,Lucas Singh,CUST-0776,Yoga Mat,PROD-0041,42.7,1,TXN-001156,2024-01-29
1157,Lucas Jones,CUST-0553,History of AI,PROD-0038,15.71,1,TXN-001157,2024-11-07
1158,Linda Martin,CUST-0744,Cutting Board,PROD-0028,11.96,5,TXN-001158,2024-04-23
1159,Arjun Thompson,CUST-0750,Portable Charger,PROD-0004,42.05,3,TXN-001159,2024-09-22
1160,Pooja Nair,CUST-0643,Machine Learning Guide,PROD-0033,42.63,1,TXN-001160,2024-02-18
1161,Arjun Jones,CUST-0775,Dumbbells (Pair),PROD-0042,77.78,4,TXN-001161,2025-04-04
1162,Thomas Gupta,CUST-0306,Fiction Novel,PROD-0037,12.83,3,TXN-001162,2025-04-09
1163,Arjun Nair,CUST-0348,Winter Jacket,PROD-0016,125.83,3,TXN-001163,2025-08-18
1164,Diya Garcia,CUST-0580,Basketball,PROD-0046,39.63,4,TXN-001164,2025-10-04
1165,Aarav Robinson,CUST-0682,Business Strategy,PROD-0035,33.11,3,TXN-001165,2024-08-27
1166,Margaret Rao,CUST-0359,Scarf,PROD-0020,33.28,1,TXN-001166,2025-08-09
1167,Jessica Mehta,CUST-0689,Laptop Stand,PROD-0009,59.55,3,TXN-001167,2025-06-16
1168,Linda Menon,CUST-0756,Winter Jacket,PROD-0016,125.83,1,TXN-001168,2025-06-12
1169,Amit Rodriguez,CUST-0597,Hoodie,PROD-0013,50.64,3,TXN-001169,2025-01-04
1170,Jessica Miller,CUST-0466,Keyboard Mechanical,PROD-0007,97.82,1,TXN-001170,2025-03-11
1171,Ayaan Wright,CUST-0422,Webcam HD,PROD-0006,72.22,1,TXN-001171,2025-03-11
1172,Noah Lopez,CUST-0134,Python Programming,PROD-0031,22.63,1,TXN-001172,2024-03-20
1173,Margaret Martin,CUST-0379,Jump Rope,PROD-0044,18.67,2,TXN-001173,2025-08-25
1174,Amit Lopez,CUST-0573,Web Development,PROD-0034,44.41,3,TXN-001174,2024-09-27
1175,Myra Nair,CUST-0599,Data Science Handbook,PROD-0032,42.44,2,TXN-001175,2025-03-26
1176,Suresh Bhat,CUST-0706,Data Science Handbook,PROD-0032,42.44,3,TXN-001176,2025-03-02
1177,Mary White,CUST-0167,External SSD 1TB,PROD-0010,77.83,2,TXN-001177,2025-05-11
1178,Krishna Malhotra,CUST-0729,Tea Kettle,PROD-0030,40.05,1,TXN-001178,2025-12-22
1179,William Smith,CUST-0526,Web Development,PROD-0034,44.41,1,TXN-001179,2024-08-05
1180,Donald Anderson,CUST-0467,Python Programming,PROD-0031,22.63,1,TXN-001180,2024-06-09
1181,Amit Lopez,CUST-0573,Non-Stick Pan,PROD-0024,32.73,4,TXN-001181,2024-05-01
1182,Pari Robinson,CUST-0617,Storage Containers,PROD-0027,35.05,1,TXN-001182,2025-01-13
1183,Charles Verma,CUST-0586,Cap,PROD-0019,12.46,1,TXN-001183,2024-06-05
1184,Aditya Lopez,CUST-0121,Non-Stick Pan,PROD-0024,32.73,1,TXN-001184,2025-01-18
1185,Mia Nair,CUST-0311,Cap,PROD-0019,12.46,2,TXN-001185,2024-05-26
1186,Myra Desai,CUST-0146,History of AI,PROD-0038,15.71,2,TXN-001186,2024-11-08
1187,Patricia Walker,CUST-0291,Running Shoes,PROD-0014,41.04,1,TXN-001187,2025-05-15
1188,Arjun Verma,CUST-0003,Monitor Stand,PROD-0008,53.18,2,TXN-001188,2024-03-10
1189,Karen Nair,CUST-0046,Storage Containers,PROD-0027,35.05,2,TXN-001189,2024-11-13
1190,Diya Garcia,CUST-0580,Dish Rack,PROD-0029,28.32,4,TXN-001190,2025-01-21
1191,Meena Kumar,CUST-0487,Tennis Racket,PROD-0047,61.92,3,TXN-001191,2024-05-15
1192,Margaret Young,CUST-0781,Laptop Stand,PROD-0009,59.55,2,TXN-001192,2025-04-16
1193,Manoj Lopez,CUST-0780,Dish Rack,PROD-0029,28.32,2,TXN-001193,2024-06-01
1194,Mary Bhat,CUST-0746,Coffee Maker,PROD-0021,62.05,1,TXN-001194,2025-10-01
1195,David Malhotra,CUST-0681,Travel Guide,PROD-0040,22.38,2,TXN-001195,2024-08-26
1196,Vikram Miller,CUST-0405,Blender,PROD-0022,46.5,2,TXN-001196,2025-11-17
1197,Ashley Davis,CUST-0454,Swimming Goggles,PROD-0048,16.81,1,TXN-001197,2024-03-31
1198,Liam Davis,CUST-0170,Basketball,PROD-0046,39.63,1,TXN-001198,2025-10-07
1199,Vivaan Nair,CUST-0791,Basketball,PROD-0046,39.63,1,TXN-001199,2025-10-22
1200,Nikhil Lewis,CUST-0127,Dumbbells (Pair),PROD-0042,77.78,2,TXN-001200,2024-07-16
1201,Vihaan Rao,CUST-0634,Business Strategy,PROD-0035,33.11,2,TXN-001201,2024-02-24
1202,Mary Chopra,CUST-0584,Web Development,PROD-0034,44.41,1,TXN-001202,2025-05-02
1203,Vihaan Patel,CUST-0515,Bluetooth Headphones,PROD-0002,92.28,1,TXN-001203,2025-06-28
1204,Manoj Sharma,CUST-0185,Bluetooth Headphones,PROD-0002,92.28,1,TXN-001204,2024-07-29
1205,Karan White,CUST-0252,Basketball,PROD-0046,39.63,3,TXN-001205,2025-08-16
1206,Sunita Martinez,CUST-0455,Webcam HD,PROD-0006,72.22,3,TXN-001206,2025-09-13
1207,Sai Lee,CUST-0329,Water Bottle,PROD-0026,17.56,2,TXN-001207,2025-05-18
1208,Lisa Hernandez,CUST-0024,Blender,PROD-0022,46.5,2,TXN-001208,2025-02-28
1209,Aanya Lewis,CUST-0025,Web Development,PROD-0034,44.41,1,TXN-001209,2024-09-20
1210,Charlotte Johnson,CUST-0094,Monitor Stand,PROD-0008,53.18,5,TXN-001210,2025-07-08
1211,Oliver Gupta,CUST-0173,Cap,PROD-0019,12.46,1,TXN-001211,2024-09-18
1212,Ishaan Young,CUST-0787,Webcam HD,PROD-0006,72.22,1,TXN-001212,2025-02-21
1213,Vihaan Davis,CUST-0695,Cotton T-Shirt,PROD-0011,30.65,1,TXN-001213,2024-11-29
1214,Matthew Iyer,CUST-0186,Bluetooth Headphones,PROD-0002,92.28,3,TXN-001214,2024-11-01
1215,Vihaan White,CUST-0400,Keyboard Mechanical,PROD-0007,97.82,1,TXN-001215,2025-02-26
1216,Jennifer Moore,CUST-0332,Casual Shorts,PROD-0017,29.07,1,TXN-001216,2024-05-03
1217,Nancy Thomas,CUST-0054,Hoodie,PROD-0013,50.64,1,TXN-001217,2025-09-03
1218,Ananya Pillai,CUST-0601,Winter Jacket,PROD-0016,125.83,2,TXN-001218,2025-05-31
1219,Neha White,CUST-0395,Monitor Stand,PROD-0008,53.18,1,TXN-001219,2024-11-21
1220,Oliver Smith,CUST-0476,Self-Help Guide,PROD-0036,10.26,2,TXN-001220,2025-05-10
1221,Aarav White,CUST-0030,Storage Containers,PROD-0027,35.05,2,TXN-001221,2024-01-20
1222,Sara Pillai,CUST-0276,Self-Help Guide,PROD-0036,10.26,5,TXN-001222,2025-11-22
1223,Divya Wright,CUST-0104,Winter Jacket,PROD-0016,125.83,3,TXN-001223,2025-10-29
1224,Krishna Thomas,CUST-0129,Scarf,PROD-0020,33.28,2,TXN-001224,2025-04-01
1225,Pooja Brown,CUST-0086,Yoga Mat,PROD-0041,42.7,2,TXN-001225,2024-05-25
1226,Betty Thomas,CUST-0383,Business Strategy,PROD-0035,33.11,5,TXN-001226,2024-09-08
1227,Sneha Brown,CUST-0551,Cutting Board,PROD-0028,11.96,5,TXN-001227,2025-07-22
1228,Suresh Miller,CUST-0463,USB-C Hub,PROD-0003,61.28,1,TXN-001228,2025-04-20
1229,Anjali Joshi,CUST-0636,Cap,PROD-0019,12.46,2,TXN-001229,2024-06-20
1230,Aanya Verma,CUST-0001,Portable Charger,PROD-0004,42.05,4,TXN-001230,2025-05-08
1231,Riya Pillai,CUST-0280,Cookbook,PROD-0039,22.32,1,TXN-001231,2025-11-27
1232,Elizabeth Thomas,CUST-0390,Toaster,PROD-0023,31.12,3,TXN-001232,2024-08-05
1233,Robert Davis,CUST-0600,Machine Learning Guide,PROD-0033,42.63,1,TXN-001233,2024-06-14
1234,Daniel Singh,CUST-0757,Business Strategy,PROD-0035,33.11,2,TXN-001234,2024-11-03
1235,Lisa Rodriguez,CUST-0092,Water Bottle,PROD-0026,17.56,2,TXN-001235,2024-05-23
1236,William Thompson,CUST-0743,Self-Help Guide,PROD-0036,10.26,5,TXN-001236,2025-03-18
1237,Lisa Kumar,CUST-0216,Travel Guide,PROD-0040,22.38,2,TXN-001237,2024-11-21
1238,Oliver Taylor,CUST-0699,Blender,PROD-0022,46.5,2,TXN-001238,2025-12-25
1239,Isabella Allen,CUST-0464,Sports Socks (3-pack),PROD-0018,13.94,1,TXN-001239,2024-11-25
1240,Neha Lewis,CUST-0350,Running Shoes,PROD-0014,41.04,2,TXN-001240,2025-09-05
1241,Rohit Chopra,CUST-0337,Bluetooth Headphones,PROD-0002,92.28,4,TXN-001241,2024-05-16
1242,Jessica Desai,CUST-0662,Wireless Mouse,PROD-0001,45.68,2,TXN-001242,2024-01-05
1243,Swati Lee,CUST-0010,Jump Rope,PROD-0044,18.67,1,TXN-001243,2025-07-23
1244,Riya White,CUST-0714,Basketball,PROD-0046,39.63,2,TXN-001244,2025-02-06
1245,Nisha Clark,CUST-0552,Webcam HD,PROD-0006,72.22,3,TXN-001245,2025-10-26
1246,Meena Mehta,CUST-0667,Smartwatch,PROD-0005,158.2,2,TXN-001246,2025-11-18
1247,Aanya Gupta,CUST-0456,Jump Rope,PROD-0044,18.67,1,TXN-001247,2025-01-20
1248,Ayaan Malhotra,CUST-0616,Toaster,PROD-0023,31.12,1,TXN-001248,2025-12-14
1249,Charles Moore,CUST-0009,Monitor Stand,PROD-0008,53.18,2,TXN-001249,2024-07-16
1250,Aanya Gupta,CUST-0456,Wireless Mouse,PROD-0001,45.68,1,TXN-001250,2024-01-21
1251,Aanya Miller,CUST-0777,Sports Socks (3-pack),PROD-0018,13.94,2,TXN-001251,2025-12-27
1252,Nikhil Mehta,CUST-0367,Hoodie,PROD-0013,50.64,1,TXN-001252,2025-09-20
1253,Isha Pillai,CUST-0641,Scarf,PROD-0020,33.28,3,TXN-001253,2024-08-14
1254,Susan Davis,CUST-0240,Data Science Handbook,PROD-0032,42.44,5,TXN-001254,2024-02-07
1255,Anthony Jones,CUST-0288,Data Science Handbook,PROD-0032,42.44,4,TXN-001255,2025-12-24
1256,Ishaan Taylor,CUST-0621,Running Shoes,PROD-0014,41.04,1,TXN-001256,2025-10-15
1257,Ayaan Walker,CUST-0406,Monitor Stand,PROD-0008,53.18,4,TXN-001257,2025-08-05
1258,Manoj Joshi,CUST-0513,Data Science Handbook,PROD-0032,42.44,1,TXN-001258,2024-07-17
1259,Riya Wright,CUST-0676,Swimming Goggles,PROD-0048,16.81,2,TXN-001259,2025-11-29
1260,Mark Hernandez,CUST-0618,Fiction Novel,PROD-0037,12.83,1,TXN-001260,2025-08-25
1261,Nancy Martinez,CUST-0132,Swimming Goggles,PROD-0048,16.81,1,TXN-001261,2024-09-22
1262,Mary Chopra,CUST-0584,Formal Shirt,PROD-0015,57.36,4,TXN-001262,2024-10-07
1263,Sarah Joshi,CUST-0197,Jump Rope,PROD-0044,18.67,1,TXN-001263,2025-12-10
1264,Vihaan Davis,CUST-0695,Business Strategy,PROD-0035,33.11,2,TXN-001264,2025-11-28
1265,Ayaan Jackson,CUST-0574,Tea Kettle,PROD-0030,40.05,1,TXN-001265,2025-03-13
1266,William Taylor,CUST-0657,Jump Rope,PROD-0044,18.67,4,TXN-001266,2024-02-23
1267,Sara Wright,CUST-0331,Cutting Board,PROD-0028,11.96,3,TXN-001267,2025-02-20
1268,Priya White,CUST-0281,Monitor Stand,PROD-0008,53.18,2,TXN-001268,2025-04-22
1269,Jennifer Martin,CUST-0508,Non-Stick Pan,PROD-0024,32.73,2,TXN-001269,2024-02-14
1270,Vivaan Anderson,CUST-0739,Formal Shirt,PROD-0015,57.36,1,TXN-001270,2025-03-06
1271,Oliver Mehta,CUST-0546,Dish Rack,PROD-0029,28.32,1,TXN-001271,2025-02-05
1272,Sandra Miller,CUST-0200,Blender,PROD-0022,46.5,1,TXN-001272,2025-08-08
1273,Patricia Reddy,CUST-0026,Swimming Goggles,PROD-0048,16.81,1,TXN-001273,2025-12-07
1274,Michael Robinson,CUST-0434,Smartwatch,PROD-0005,158.2,4,TXN-001274,2024-07-20
1275,Priya Anderson,CUST-0169,Blender,PROD-0022,46.5,1,TXN-001275,2025-10-03
1276,Isha Pillai,CUST-0641,Keyboard Mechanical,PROD-0007,97.82,1,TXN-001276,2025-03-18
1277,Aanya Lewis,CUST-0025,History of AI,PROD-0038,15.71,3,TXN-001277,2024-12-08
1278,Manoj Verma,CUST-0257,Winter Jacket,PROD-0016,125.83,1,TXN-001278,2024-09-01
1279,Michael Brown,CUST-0349,Portable Charger,PROD-0004,42.05,3,TXN-001279,2025-06-16
1280,Mary Jones,CUST-0243,Smartwatch,PROD-0005,158.2,3,TXN-001280,2025-09-26
1281,Jessica Brown,CUST-0450,Cycling Gloves,PROD-0049,31.15,1,TXN-001281,2025-04-02
1282,Patricia Reddy,CUST-0593,Monitor Stand,PROD-0008,53.18,1,TXN-001282,2024-03-03
1283,Pooja Walker,CUST-0035,Knife Set,PROD-0025,68.52,1,TXN-001283,2025-12-11
1284,Mia Kulkarni,CUST-0067,Laptop Stand,PROD-0009,59.55,1,TXN-001284,2025-03-28
1285,Lucas Gupta,CUST-0057,Scarf,PROD-0020,33.28,2,TXN-001285,2025-03-18
1286,Nisha Thomas,CUST-0068,Keyboard Mechanical,PROD-0007,97.82,2,TXN-001286,2025-07-26
1287,Nancy Thomas,CUST-0054,Cap,PROD-0019,12.46,3,TXN-001287,2025-02-15
1288,Suresh Shah,CUST-0099,Travel Guide,PROD-0040,22.38,3,TXN-001288,2024-08-26
1289,Krishna Malhotra,CUST-0614,Resistance Bands,PROD-0043,22.74,2,TXN-001289,2025-04-09
1290,Pari Walker,CUST-0394,Tea Kettle,PROD-0030,40.05,3,TXN-001290,2025-09-27
1291,Vivaan Johnson,CUST-0635,Keyboard Mechanical,PROD-0007,97.82,1,TXN-001291,2025-11-22
1292,Aarav Young,CUST-0027,Tea Kettle,PROD-0030,40.05,2,TXN-001292,2025-08-24
1293,Nikhil Verma,CUST-0198,Keyboard Mechanical,PROD-0007,97.82,1,TXN-001293,2025-09-01
1294,Sunita Gupta,CUST-0731,Smartwatch,PROD-0005,158.2,2,TXN-001294,2024-07-17
1295,Aarav Davis,CUST-0587,Laptop Stand,PROD-0009,59.55,2,TXN-001295,2024-09-19
1296,Ishaan Rodriguez,CUST-0364,Storage Containers,PROD-0027,35.05,2,TXN-001296,2025-09-27
1297,Aanya Gupta,CUST-0456,Denim Jeans,PROD-0012,82.97,1,TXN-001297,2024-02-15
1298,Anthony Menon,CUST-0062,Laptop Stand,PROD-0009,59.55,1,TXN-001298,2025-03-22
1299,William Smith,CUST-0526,Dumbbells (Pair),PROD-0042,77.78,3,TXN-001299,2024-11-14
1300,Neha Miller,CUST-0598,Business Strategy,PROD-0035,33.11,3,TXN-001300,2024-05-30
1301,Jessica Chopra,CUST-0481,Scarf,PROD-0020,33.28,2,TXN-001301,2024-10-25
1302,James Young,CUST-0378,Wireless Mouse,PROD-0001,45.68,2,TXN-001302,2025-11-04
1303,Vihaan Davis,CUST-0695,External SSD 1TB,PROD-0010,77.83,1,TXN-001303,2025-06-03
1304,Amit Lopez,CUST-0573,Portable Charger,PROD-0004,42.05,2,TXN-001304,2024-07-19
1305,Charles Malhotra,CUST-0206,Yoga Mat,PROD-0041,42.7,4,TXN-001305,2024-03-11
1306,Neha Lewis,CUST-0350,Hoodie,PROD-0013,50.64,2,TXN-001306,2025-12-12
1307,Jessica Moore,CUST-0709,Tea Kettle,PROD-0030,40.05,2,TXN-001307,2024-12-05
1308,Patricia Reddy,CUST-0593,Fiction Novel,PROD-0037,12.83,5,TXN-001308,2025-09-22
1309,Deepak Rodriguez,CUST-0307,Storage Containers,PROD-0027,35.05,1,TXN-001309,2024-04-17
1310,Jessica Miller,CUST-0466,USB-C Hub,PROD-0003,61.28,2,TXN-001310,2024-01-04
1311,Isha Patel,CUST-0655,Formal Shirt,PROD-0015,57.36,2,TXN-001311,2025-04-22
1312,Ananya Thompson,CUST-0639,Running Shoes,PROD-0014,41.04,1,TXN-001312,2024-12-05
1313,Daniel Desai,CUST-0758,Knife Set,PROD-0025,68.52,1,TXN-001313,2024-07-07
1314,Neha Kulkarni,CUST-0007,Non-Stick Pan,PROD-0024,32.73,1,TXN-001314,2025-01-01
1315,Michael Malhotra,CUST-0031,Self-Help Guide,PROD-0036,10.26,1,TXN-001315,2024-10-24
1316,Ananya Lewis,CUST-0451,Hoodie,PROD-0013,50.64,2,TXN-001316,2025-01-03
1317,Patricia Joshi,CUST-0045,Bluetooth Headphones,PROD-0002,92.28,1,TXN-001317,2024-10-17
1318,Rahul Malhotra,CUST-0179,Formal Shirt,PROD-0015,57.36,4,TXN-001318,2024-06-27
1319,Arjun Nair,CUST-0348,Self-Help Guide,PROD-0036,10.26,1,TXN-001319,2024-07-19
1320,Joseph White,CUST-0023,Denim Jeans,PROD-0012,82.97,3,TXN-001320,2024-04-13
1321,Reyansh Reddy,CUST-0022,Jump Rope,PROD-0044,18.67,1,TXN-001321,2025-11-01
1322,Lisa Nair,CUST-0114,Blender,PROD-0022,46.5,4,TXN-001322,2024-11-08
1323,Riya Martinez,CUST-0468,Winter Jacket,PROD-0016,125.83,1,TXN-001323,2025-01-16
1324,Linda Walker,CUST-0677,Cotton T-Shirt,PROD-0011,30.65,4,TXN-001324,2025-09-30
1325,Jessica Martinez,CUST-0445,Basketball,PROD-0046,39.63,1,TXN-001325,2024-05-27
